DS_Name,DS_Address,EE_Name,EE_Address,ED_Name,ED_Address,Match
zacsconvenience,1977keelestreet,zhongguorestaurant,3838midlandavenue,30,19,u
zacsconvenience,1977keelestreet,zhusrestaurant,1baldwinstreet,28,55,u
zacsconvenience,1977keelestreet,ziapiera,2070yongestreet,35,53,u
zacsconvenience,1977keelestreet,ziggysmiddleeasternrestaurant,792bathurststreet,32,44,u
zacsconvenience,1977keelestreet,ziggysshawarmaandseafoodhouse,392queenstreetwest,23,55,u
zacsconvenience,1977keelestreet,zillysrestaurant,865wilsonavenue,26,27,u
zacsconvenience,1977keelestreet,zinrestaurant,90avenueroad,29,30,u
zacsconvenience,1977keelestreet,zionheightsjrhigh21269,5900lesliestreet,27,65,u
zacsconvenience,1977keelestreet,zipperzbar,72carltonstreet,24,53,u
zacsconvenience,1977keelestreet,zippiecanca,100mccaulstreet,38,53,u
zacsconvenience,1977keelestreet,zippiecanca,1718queenstreetwest,38,59,u
zacsconvenience,1977keelestreet,zizioncollege,588collegestreet,36,52,u
zacsconvenience,1977keelestreet,zizitrattoria,2590yongestreet,29,53,u
zacsconvenience,1977keelestreet,zo,928stclairavenuewest,24,40,u
zacsconvenience,1977keelestreet,zobelethiopianrestaurant,1160danforthavenue,31,24,u
zacsconvenience,1977keelestreet,zocalo,1426bloorstreetwest,29,47,u
zacsconvenience,1977keelestreet,zodiacchinesedelicacies,5103sheppardavenueeast,47,32,u
zacsconvenience,1977keelestreet,zodiacdiningentertainment,1215danforthavenue,45,24,u
zacsconvenience,1977keelestreet,zodiaclounge,2393eglintonavenueeast,44,38,u
zacsconvenience,1977keelestreet,zodiacrestauranttavern,2961lakeshoreboulevardwest,43,44,u
zacsconvenience,1977keelestreet,zoesbakerycafe,548kingstreetwest,41,44,u
zacsconvenience,1977keelestreet,zoobarcafewest,526queenstreetwest,34,48,u
zacsconvenience,1977keelestreet,zoombargrill,2829eglintonavenueeast,22,38,u
zacsconvenience,1977keelestreet,zoomcaffe,18kingstreeteast,33,52,u
zacsconvenience,1977keelestreet,zootscafe,1438dundasstreetwest,33,40,u
zacsconvenience,1977keelestreet,zorbasrestaurant,681danforthavenue,32,25,u
zacsconvenience,1977keelestreet,zorbasrestaurant,1549oconnordrive,32,26,u
zacsconvenience,1977keelestreet,zorbathegreek,85ellesmereroad,36,40,u
zacsconvenience,1977keelestreet,zorrabargrill,1595dupontstreet,21,52,u
